panel,model,condition_id,horizon,endpoint,cumulative
A,mlp_koopman,A_h00_p00,40,0.017742244460366246,0.013588491010617867
A,mlp_koopman,A_h00_p00,41,0.019737097206652066,0.013771158022024655
A,mlp_koopman,A_h00_p00,42,0.017650071259113616,0.013876119894249224
A,mlp_koopman,A_h00_p00,43,0.01880778420964498,0.014010539460007932
A,mlp_koopman,A_h00_p00,44,0.020886837160891732,0.01420383611186885
A,mlp_koopman,A_h00_p00,45,0.02048177560746619,0.014373167427087568
A,mlp_koopman,A_h00_p00,46,0.01976699195207108,0.014511757868342441
A,mlp_koopman,A_h00_p00,47,0.020818073944078228,0.014674180218135826
A,mlp_koopman,A_h00_p00,48,0.022340591817835542,0.014874254604058168
A,mlp_koopman,A_h00_p00,49,0.021753152445417128,0.015046109567387837
A,mlp_koopman,A_h00_p00,50,0.021636749462857686,0.01520594237125514
A,mlp_koopman,A_h00_p00,51,0.019741332420084762,0.015307792694211632
A,mlp_koopman,A_h00_p00,52,0.018041886639409956,0.01536496016736572
A,mlp_koopman,A_h00_p00,53,0.02008695342094686,0.015467403184165663
A,mlp_koopman,A_h00_p00,54,0.02007243594576879,0.015565067983372557
A,mlp_koopman,A_h00_p00,55,0.02021939098452162,0.0156620422466336
A,mlp_koopman,A_h00_p00,56,0.020706397884793806,0.015766279068228663
A,mlp_koopman,A_h00_p00,57,0.020888481644914487,0.015870396021013568
A,mlp_koopman,A_h00_p00,58,0.02121656970715487,0.015977733759060985
A,mlp_koopman,A_h00_p00,59,0.022755919078153462,0.016116385211828607
A,mlp_koopman,A_h00_p00,60,0.02483119225609126,0.016299858166216142
A,mlp_koopman,A_h00_p00,61,0.02468713312267339,0.016471822495710758
A,mlp_koopman,A_h00_p00,62,0.025617942898979743,0.016659229794049057
A,mlp_koopman,A_h00_p00,63,0.02529483482208739,0.01683094503717353
A,mlp_koopman,A_h00_p00,64,0.026224793377930374,0.01701764918901734
A,mlp_koopman,A_h00_p00,65,0.025826914368916164,0.017187407768358483
A,mlp_koopman,A_h00_p00,66,0.026011610961226825,0.01735461600525362
A,mlp_koopman,A_h00_p00,67,0.027220105719282482,0.01754269509787353
A,mlp_koopman,A_h00_p00,68,0.027806804587013068,0.017736722672200042
A,mlp_koopman,A_h00_p00,69,0.029976076126077077,0.017973723033455624
A,mlp_koopman,A_h00_p00,70,0.02761849571356644,0.018147631472230766
A,mlp_koopman,A_h00_p00,71,0.029402444193060238,0.01835413016733355
A,mlp_koopman,A_h00_p00,72,0.0308678070182824,0.018585718157244118
A,mlp_koopman,A_h00_p00,73,0.02848817172531154,0.018756718659828076
A,mlp_koopman,A_h00_p00,74,0.030252307815192624,0.018958582259213496
A,mlp_koopman,A_h00_p00,75,0.03087052443234367,0.01916616794715832
A,mlp_koopman,A_h00_p00,76,0.03259597945618433,0.01940331883240492
A,mlp_koopman,A_h00_p00,77,0.03242971323719633,0.019627979535835186
A,mlp_koopman,A_h00_p00,78,0.033883316695164686,0.019875546391786514
A,mlp_koopman,A_h00_p00,79,0.03603921909547178,0.02016129208174584
A,mlp_koopman,A_h00_p00,80,0.03538653907457559,0.020421785341182955
A,mlp_koopman,A_h00_p00,81,0.03630509456947858,0.020692339255609177
A,mlp_koopman,A_h00_p00,82,0.03846237457888472,0.020999814015336012
A,mlp_koopman,A_h00_p00,83,0.038439675307258905,0.021295106092398777
A,mlp_koopman,A_h00_p00,84,0.04013283149378852,0.021616134921982614
A,mlp_koopman,A_h00_p00,85,0.0389539332842245,0.0219000459820634
A,mlp_koopman,A_h00_p00,86,0.04075240830557606,0.02221139974807252
A,mlp_koopman,A_h00_p00,87,0.04037095303037816,0.022503535819926226
A,mlp_koopman,A_h00_p00,88,0.04177968115174268,0.022814253812989474
A,mlp_koopman,A_h00_p00,89,0.040500463823272846,0.02308835572797834
A,mlp_koopman,A_h00_p00,90,0.042479256566246085,0.023392285145166416
A,mlp_koopman,A_h00_p00,91,0.043183529428887195,0.023699753696982576
A,mlp_koopman,A_h00_p00,92,0.042747427842975076,0.02398823764963995
A,mlp_koopman,A_h00_p00,93,0.04265364327784864,0.02426542375571913
A,mlp_koopman,A_h00_p00,94,0.04399103063145533,0.024558790567752196
A,mlp_koopman,A_h00_p00,95,0.043924484296322,0.02484138621669491
A,mlp_koopman,A_h00_p00,96,0.04763659468461333,0.025185399979454678
A,mlp_koopman,A_h00_p00,97,0.04649481205847925,0.025496105882644404
A,mlp_koopman,A_h00_p00,98,0.04792835794758501,0.025823599941881246
A,mlp_koopman,A_h00_p00,99,0.047868102917180876,0.026139383584735894
A,mlp_koopman,A_h00_p00,100,0.04698086554970134,0.02642927766182897
A,mlp_koopman,A_h00_p01,1,0.001518011103276851,0.001518011103276851
A,mlp_koopman,A_h00_p01,2,0.00905980164724256,0.006495550923403295
A,mlp_koopman,A_h00_p01,3,0.009628494270484149,0.0076831474781671105
A,mlp_koopman,A_h00_p01,4,0.010337245031640095,0.008425421359759473
A,mlp_koopman,A_h00_p01,5,0.012031758881606739,0.009259742136183786
A,mlp_koopman,A_h00_p01,6,0.011541208351347258,0.00967741022822648
A,mlp_koopman,A_h00_p01,7,0.010426034516695722,0.00978786280550433
A,mlp_koopman,A_h00_p01,8,0.011057004014765824,0.00995535751416149
A,mlp_koopman,A_h00_p01,9,0.015376733663282632,0.010694323956762727
A,mlp_koopman,A_h00_p01,10,0.01738202675915071,0.011538855828397952
A,mlp_koopman,A_h00_p01,11,0.016429119519352386,0.01206560817314576
A,mlp_koopman,A_h00_p01,12,0.01410208299782601,0.012248253791678064
A,mlp_koopman,A_h00_p01,13,0.010661425862063673,0.01213356011157786
A,mlp_koopman,A_h00_p01,14,0.01132529751585642,0.012077621030470293
A,mlp_koopman,A_h00_p01,15,0.011578535453094129,0.012044992043218001
A,mlp_koopman,A_h00_p01,16,0.014091476661776504,0.012182972785631917
A,mlp_koopman,A_h00_p01,17,0.011008463027526326,0.012117035826024108
A,mlp_koopman,A_h00_p01,18,0.01174627622527625,0.012096736193692151
A,mlp_koopman,A_h00_p01,19,0.01603082495869423,0.012335114247699881
A,mlp_koopman,A_h00_p01,20,0.023267777016621357,0.013100258153692196
A,mlp_koopman,A_h00_p01,21,0.028839693694816787,0.014249583463049071
A,mlp_koopman,A_h00_p01,22,0.03406858858675866,0.015702825360384635
A,mlp_koopman,A_h00_p01,23,0.035283305603783774,0.017028931377667696
A,mlp_koopman,A_h00_p01,24,0.0367240808744506,0.01827829052110664
A,mlp_koopman,A_h00_p01,25,0.037709803399882974,0.01943227313253215
A,mlp_koopman,A_h00_p01,26,0.04143449757541369,0.02071523832162081
A,mlp_koopman,A_h00_p01,27,0.047851726825698944,0.02231669058745838
A,mlp_koopman,A_h00_p01,28,0.05776564484377051,0.024483088953090353
A,mlp_koopman,A_h00_p01,29,0.06959701469997198,0.02730892900987558
A,mlp_koopman,A_h00_p01,30,0.08020709996467097,0.030583617287184443
A,mlp_koopman,A_h00_p01,31,0.08800666788943921,0.033985719479193335
A,mlp_koopman,A_h00_p01,32,0.09784458320526335,0.03765777868128757
A,mlp_koopman,A_h00_p01,33,0.1092901957167273,0.04167835435828346
A,mlp_koopman,A_h00_p01,34,0.12010224718049753,0.0459374133386261
A,mlp_koopman,A_h00_p01,35,0.1305474294774444,0.05036750467384898
A,mlp_koopman,A_h00_p01,36,0.14569824071839732,0.055281846225575165
A,mlp_koopman,A_h00_p01,37,0.16008485417786622,0.06054842407238835
A,mlp_koopman,A_h00_p01,38,0.1752328075586834,0.06616420326850708
A,mlp_koopman,A_h00_p01,39,0.19286751977603642,0.07224434116114352
A,mlp_koopman,A_h00_p01,40,0.21006093878593593,0.07868865012918458
A,mlp_koopman,A_h00_p01,41,0.22317649247462304,0.0851804244601128
A,mlp_koopman,A_h00_p01,42,0.24065703971163005,0.09198857381453746
A,mlp_koopman,A_h00_p01,43,0.2559416496190901,0.09893688755639504
A,mlp_koopman,A_h00_p01,44,0.27107983405375435,0.10600065483958551
A,mlp_koopman,A_h00_p01,45,0.28839919032984607,0.11329059991852145
A,mlp_koopman,A_h00_p01,46,0.3069198326041346,0.12084521045996262
A,mlp_koopman,A_h00_p01,47,0.324633332379637,0.12858896957120736
A,mlp_koopman,A_h00_p01,48,0.3416740500804958,0.13646519259972936
A,mlp_koopman,A_h00_p01,49,0.3588295390723339,0.1444659821614935
A,mlp_koopman,A_h00_p01,50,0.38103242190866676,0.15282907358470424
A,mlp_koopman,A_h00_p01,51,0.406861035806537,0.1616927726503663
A,mlp_koopman,A_h00_p01,52,0.43531580696080857,0.17113153066065515
A,mlp_koopman,A_h00_p01,53,0.4605568331202227,0.1809297078884183
A,mlp_koopman,A_h00_p01,54,0.48783396164956233,0.1911450201615347
A,mlp_koopman,A_h00_p01,55,0.5180659916014023,0.20187120030589414
A,mlp_koopman,A_h00_p01,56,0.5499479756885093,0.2131314885554272
A,mlp_koopman,A_h00_p01,57,0.5797728585929833,0.22477818800408558
A,mlp_koopman,A_h00_p01,58,0.6111537559932476,0.23684154604821317
A,mlp_koopman,A_h00_p01,59,0.6430028572190162,0.24930071401834275
A,mlp_koopman,A_h00_p01,60,0.6767221471419078,0.2621975330110751
A,mlp_koopman,A_h00_p01,61,0.7070783497019276,0.2753481424217864
