panel,condition_id,history,trajectory,seed,window_index,origin,profile,profile_name,clip_q1,clip_q2,clip_q3,history_sha256,past_actions_sha256,branch_buffer_sha256,requested_actions_sha256,applied_actions_sha256,future_noise_sha256,truth_sha256,past_replay_max_abs_delta,base_future_max_abs_delta
A,A_h03_p00,3,fresh_003,2026094127,440,459,0,base,0,0,0,81acd480b14ff62cc4740c65af3ba7abd34c2b0911f9df1938346db73abf5307,2f983eccef1610ea32241a14789c9ec6bfe0243850d1a3c4976445d0acc3fc4d,8f8ac23b991ff104317a2395960582b56b26333b489a8c93e0bb20c97c5b2e80,11bfbf93e400b427d0046e6576da2e960b0dad8abdafa018197da39c988507c4,11bfbf93e400b427d0046e6576da2e960b0dad8abdafa018197da39c988507c4,c58ad609fcb480e5e258fa99b59f204e4986d4302218eede08b9b2d347119584,c61f364781123a34d819b0ccb754c403a2d3c258d79b6ac4e4b54d61b99b9e80,0.0,0.0
A,A_h03_p01,3,fresh_003,2026094127,440,459,1,q1_plus,8,0,0,81acd480b14ff62cc4740c65af3ba7abd34c2b0911f9df1938346db73abf5307,2f983eccef1610ea32241a14789c9ec6bfe0243850d1a3c4976445d0acc3fc4d,8f8ac23b991ff104317a2395960582b56b26333b489a8c93e0bb20c97c5b2e80,669754a133187acaeda03682e2b4883d42d2991ef812c428de0012eb896b022d,e1061b2f8f86005de46af4327ba29df3d7b5cbb4675c5181cf4185c23f7b25d4,c58ad609fcb480e5e258fa99b59f204e4986d4302218eede08b9b2d347119584,ac8aa0c49577a3717cf1eb84e93bbcb33fccc53aa74e8e06e5af2dfc1e4cf48a,0.0,
A,A_h03_p02,3,fresh_003,2026094127,440,459,2,q1_minus,11,0,0,81acd480b14ff62cc4740c65af3ba7abd34c2b0911f9df1938346db73abf5307,2f983eccef1610ea32241a14789c9ec6bfe0243850d1a3c4976445d0acc3fc4d,8f8ac23b991ff104317a2395960582b56b26333b489a8c93e0bb20c97c5b2e80,4c345ed825ef65d7057c9287c2afdf3e51a91ec743a710c6f52eed7edd9c2ac0,c286d418d6c9e763b9faec1d4e1176cdd44e19f14b55be29b80e7ef8c0c9156b,c58ad609fcb480e5e258fa99b59f204e4986d4302218eede08b9b2d347119584,850a773a76dd0bac0ef341f059bd8954580f2be6af7c160fdd218021f96c7f1a,0.0,
A,A_h03_p03,3,fresh_003,2026094127,440,459,3,q2_plus,0,8,0,81acd480b14ff62cc4740c65af3ba7abd34c2b0911f9df1938346db73abf5307,2f983eccef1610ea32241a14789c9ec6bfe0243850d1a3c4976445d0acc3fc4d,8f8ac23b991ff104317a2395960582b56b26333b489a8c93e0bb20c97c5b2e80,a45b6d0abae0c96009085b7bb87c55c272bc7d1566b6ad4bfe11764ed8c7b5a4,2f78fb0a1d79d804df5d0767cd14542084974ffb30a24352f04471cebcb59ca2,c58ad609fcb480e5e258fa99b59f204e4986d4302218eede08b9b2d347119584,aca92b494824dbccaf0dfb30d76611bfb225cd07780e2f087a50498d175c15e6,0.0,
A,A_h03_p04,3,fresh_003,2026094127,440,459,4,q2_minus,0,11,0,81acd480b14ff62cc4740c65af3ba7abd34c2b0911f9df1938346db73abf5307,2f983eccef1610ea32241a14789c9ec6bfe0243850d1a3c4976445d0acc3fc4d,8f8ac23b991ff104317a2395960582b56b26333b489a8c93e0bb20c97c5b2e80,ff16a4b56ae2ddd718c7370d839d0abd48732071174e35659269f7c9dcbdfa43,cee3597d0ea81673db05cb7124845da7fa0ef343ff0e742358dc1bf73ea6f2c0,c58ad609fcb480e5e258fa99b59f204e4986d4302218eede08b9b2d347119584,67738c55b5300e44c2422c314f074c204d4c0f4f7030bccc65d1c4d7447184c7,0.0,
A,A_h03_p05,3,fresh_003,2026094127,440,459,5,q3_plus,0,0,13,81acd480b14ff62cc4740c65af3ba7abd34c2b0911f9df1938346db73abf5307,2f983eccef1610ea32241a14789c9ec6bfe0243850d1a3c4976445d0acc3fc4d,8f8ac23b991ff104317a2395960582b56b26333b489a8c93e0bb20c97c5b2e80,48b49e7c6043dbde2f313c49a02569e543c4b9777c62af363777611cb10b3afb,5b109db123ff13d4477987cccf7c68fc8464d42d0a91d2cc58e087c7e3a218f5,c58ad609fcb480e5e258fa99b59f204e4986d4302218eede08b9b2d347119584,30aff76cf18f4fc15c91ea76b141ed1c527b911ac2b7dbdb771662499fab58bc,0.0,
A,A_h03_p06,3,fresh_003,2026094127,440,459,6,q3_minus,0,0,8,81acd480b14ff62cc4740c65af3ba7abd34c2b0911f9df1938346db73abf5307,2f983eccef1610ea32241a14789c9ec6bfe0243850d1a3c4976445d0acc3fc4d,8f8ac23b991ff104317a2395960582b56b26333b489a8c93e0bb20c97c5b2e80,822c42163e000e1534e752a189c7189f830b05209e336c548d7672704d11bf29,cd7d2bc0fa027907db6d66b115a3fb25a22de333bcbc8281711c5f84ceb34814,c58ad609fcb480e5e258fa99b59f204e4986d4302218eede08b9b2d347119584,d30bb0ca236021cec7aeb6d91ee8f0627518780f77f4cf110ae2b327d54908a0,0.0,
A,A_h04_p00,4,fresh_004,2026095136,440,459,0,base,0,0,0,eb2ab7bc251218d27aad75757b010720d630a21eaaced4688eadbee28aac5dc1,d9310ab3e9f94fafbf4bf732cb66a7e65e1ace1f0afbefd19e1dec29f53f1479,eb7afe823eacf0b50fad363ed53074c30d0d7c53e2ad7c5a2e8b7e533a86e843,b281120e16c99c581e612126f31bf9769c5ded8a8ffd480632d9e415fa6b6ba7,b281120e16c99c581e612126f31bf9769c5ded8a8ffd480632d9e415fa6b6ba7,b835ced30426793f098b972ca098ec99108e1060701a8d4d4106a2a0f08ca728,225d5f00379a17fa695549c5fd3cf650e3fa35f204be7fa9442ff6567b982a11,0.0,0.0
A,A_h04_p01,4,fresh_004,2026095136,440,459,1,q1_plus,14,0,0,eb2ab7bc251218d27aad75757b010720d630a21eaaced4688eadbee28aac5dc1,d9310ab3e9f94fafbf4bf732cb66a7e65e1ace1f0afbefd19e1dec29f53f1479,eb7afe823eacf0b50fad363ed53074c30d0d7c53e2ad7c5a2e8b7e533a86e843,5ae649d1ec2331ef9121d12c58ab0d9ef635a35dd9dc2263b44e980ada04668a,8191f210b16f6099979ef45b4c1487103dca76e61010f0d003965a2daf3b17b0,b835ced30426793f098b972ca098ec99108e1060701a8d4d4106a2a0f08ca728,f987301fe809bdd025aaeca5f2105a0d1d0acbf71c6a14f87aefc2cc45fd0a90,0.0,
A,A_h04_p02,4,fresh_004,2026095136,440,459,2,q1_minus,10,0,0,eb2ab7bc251218d27aad75757b010720d630a21eaaced4688eadbee28aac5dc1,d9310ab3e9f94fafbf4bf732cb66a7e65e1ace1f0afbefd19e1dec29f53f1479,eb7afe823eacf0b50fad363ed53074c30d0d7c53e2ad7c5a2e8b7e533a86e843,02c0d0ef60712000c998b1eab5bda1cc8be95bebf16e7871bb39ddcec5fdbecd,0b94e2adc861bb2c20d9b171589791ff568fb48a2e10206d4b57a71da9b4e40c,b835ced30426793f098b972ca098ec99108e1060701a8d4d4106a2a0f08ca728,4f33c68a45636cdb01c7de65b98f2b14f9f00d65b3df30b1dfc6fd10c9b52620,0.0,
A,A_h04_p03,4,fresh_004,2026095136,440,459,3,q2_plus,0,10,0,eb2ab7bc251218d27aad75757b010720d630a21eaaced4688eadbee28aac5dc1,d9310ab3e9f94fafbf4bf732cb66a7e65e1ace1f0afbefd19e1dec29f53f1479,eb7afe823eacf0b50fad363ed53074c30d0d7c53e2ad7c5a2e8b7e533a86e843,a93e8ac1b76d4166fd9b4d8edeedb9dd67bdd61f55b1ff3602a9051a0a3fb635,74bb59fac1b1f34de1fe5a22a667ff9e827d9774ad1ea584f6477db23b535fc2,b835ced30426793f098b972ca098ec99108e1060701a8d4d4106a2a0f08ca728,de12a0f1db017b125345037249df12b51550fba7e47f07d6a131ff9eee5c0719,0.0,
