panel,model,group,conditions,horizon,endpoint_mean,endpoint_min,endpoint_max,cumulative_mean,cumulative_min,cumulative_max
A,mlp_koopman,history_00,7,56,0.18118532679553617,0.020706397884793806,0.5499479756885093,0.0694264304645467,0.013968495586473352,0.2131314885554272
A,mlp_koopman,history_00,7,57,0.1919241980154744,0.020888481644914487,0.5797728585929833,0.07344791711918257,0.014415796360032034,0.22477818800408558
A,mlp_koopman,history_00,7,58,0.203373032577501,0.02121656970715487,0.6111537559932476,0.07764247666025308,0.014914722756622614,0.23684154604821317
A,mlp_koopman,history_00,7,59,0.21512615756595538,0.022755919078153462,0.6430028572190162,0.08199773879983137,0.015488225950105542,0.24930071401834275
A,mlp_koopman,history_00,7,60,0.22784232196215667,0.02483119225609126,0.6767221471419078,0.08653866313715418,0.01614108704764754,0.2621975330110751
A,mlp_koopman,history_00,7,61,0.23812673149605396,0.02468713312267339,0.7070783497019276,0.09115113744513648,0.016471822495710758,0.2753481424217864
A,mlp_koopman,history_00,7,62,0.24770669249905716,0.025617942898979743,0.7334448143293675,0.09578943808926743,0.016659229794049057,0.2885658047417985
A,mlp_koopman,history_00,7,63,0.25734621534065216,0.02529483482208739,0.7612936510181901,0.10046101390086702,0.01683094503717353,0.3019072150746454
A,mlp_koopman,history_00,7,64,0.2678858462759425,0.026224793377930374,0.790826855509353,0.105196310951886,0.01701764918901734,0.3154294940480184
A,mlp_koopman,history_00,7,65,0.27843541001564603,0.025826914368916164,0.8200236248769737,0.1099975001314226,0.017187407768358483,0.32910526142023455
A,mlp_koopman,history_00,7,66,0.28966531019004854,0.026011610961226825,0.8482351191138507,0.11488600070459756,0.01735461600525362,0.3428859375776075
A,mlp_koopman,history_00,7,67,0.3000194235938863,0.027220105719282482,0.8740628410721831,0.1198185542802047,0.01754269509787353,0.35667737875586825
A,mlp_koopman,history_00,7,68,0.3105564654950891,0.027806804587013068,0.9011167273575215,0.12479900675708573,0.017736722672200042,0.37052561582691224
A,mlp_koopman,history_00,7,69,0.32205931445387354,0.029976076126077077,0.9286964985631928,0.12985684552574947,0.017973723033455624,0.38444661832093135
A,mlp_koopman,history_00,7,70,0.3327157354489822,0.02761849571356644,0.9563595879990779,0.13497209064122834,0.018147631472230766,0.3984392519194176
A,mlp_koopman,history_00,7,71,0.34353258564022565,0.029402444193060238,0.9802057549578921,0.14013225648618316,0.01835413016733355,0.41237156677436265
A,mlp_koopman,history_00,7,72,0.3516637241450335,0.0308678070182824,0.9966422356284423,0.14524739802493775,0.018585718157244118,0.4260097105504884
A,mlp_koopman,history_00,7,73,0.35954895648559654,0.02848817172531154,1.0147386312893227,0.15032599939899374,0.018756718659828076,0.43943553738343705
A,mlp_koopman,history_00,7,74,0.37082335671615213,0.030252307815192624,1.035664291798463,0.15547621819628757,0.018958582259213496,0.4527567616450887
A,mlp_koopman,history_00,7,75,0.3836781342931646,0.03087052443234367,1.0616978660980878,0.16074424377127236,0.01916616794715832,0.4661382493754825
A,mlp_koopman,history_00,7,76,0.40062545398052507,0.03259597945618433,1.0978868666542207,0.16624753346137883,0.01940331883240492,0.4798810246846934
A,mlp_koopman,history_00,7,77,0.41428464171566964,0.03242971323719633,1.134189294273205,0.17185406940704445,0.019627979535835186,0.49396495474866803
A,mlp_koopman,history_00,7,78,0.42846842401088736,0.033883316695164686,1.1721632908217243,0.17757030268352095,0.019875546391786514,0.5084172621640558
A,mlp_koopman,history_00,7,79,0.4451007651342104,0.03603921909547178,1.2112003700276204,0.18347060951155789,0.02016129208174584,0.5232454600882452
A,mlp_koopman,history_00,7,80,0.45877614339834205,0.03538653907457559,1.2461566425149375,0.1894548025530541,0.020421785341182955,0.5383073644120278
A,mlp_koopman,history_00,7,81,0.47099075233444754,0.03630509456947858,1.2777378624508247,0.19546974153795976,0.020692339255609177,0.5534917168635156
A,mlp_koopman,history_00,7,82,0.4861342893940716,0.03846237457888472,1.310403539029087,0.20160425101147691,0.020999814015336012,0.5688215992633501
A,mlp_koopman,history_00,7,83,0.501886856295786,0.038439675307258905,1.3404131131245716,0.20787843250197152,0.021295106092398777,0.5842146853342317
A,mlp_koopman,history_00,7,84,0.5162902462156944,0.04013283149378852,1.3675687824387028,0.21424033419044913,0.021616134921982614,0.5995902237123069
A,mlp_koopman,history_00,7,85,0.5265960913718858,0.0389539332842245,1.3934119359485366,0.2205600918580692,0.0219000459820634,0.614915637240439
A,mlp_koopman,history_00,7,86,0.5387930988477044,0.04075240830557606,1.4230447464826865,0.22689305028129775,0.02221139974807252,0.6302948906453385
A,mlp_koopman,history_00,7,87,0.5544038129769292,0.04037095303037816,1.459143539741526,0.2333389923578816,0.022503535819926226,0.6458929637892192
A,mlp_koopman,history_00,7,88,0.5727912134367269,0.04177968115174268,1.5025144579323608,0.23996230641929864,0.022814253812989474,0.661884460141823
A,mlp_koopman,history_00,7,89,0.5852854255921777,0.040500463823272846,1.5403304507095898,0.24658792119260942,0.02308835572797834,0.6781056668527031
