panel,model,group,conditions,horizon,endpoint_mean,endpoint_min,endpoint_max,cumulative_mean,cumulative_min,cumulative_max
A,dlm_koopman,all_conditions,84,100,0.07463254556027218,0.0028907553366387916,0.3812131697975518,0.03166692782760866,0.003841421804697615,0.1515422885035247
B,dlm_koopman,all_conditions,84,20,0.00553275343281165,0.0024712079146867764,0.014041621723401258,0.004795936772907207,0.0036246582434239895,0.00756406308980117
B,dlm_koopman,all_conditions,84,30,0.006805312319050056,0.0021132534492252406,0.04348532873983788,0.005296448626748554,0.0035168642499918802,0.017464013877148108
B,dlm_koopman,all_conditions,84,50,0.016419753846785207,0.003784333821767564,0.11811732868716518,0.008966356383446592,0.0035401048699165096,0.05681162207809598
B,dlm_koopman,all_conditions,84,60,0.0298309712982244,0.004410456992766748,0.2036543875573299,0.01295700220058937,0.0035382447088965056,0.08577097055062624
B,dlm_koopman,all_conditions,84,100,0.08342854242662882,0.003052821498355325,0.4229483323915616,0.03628833588680992,0.003841421804697615,0.20460932506382085
A,rbf_markov,all_conditions,84,20,0.14911237012765852,0.015220127406373438,0.40364734810493325,0.09506898694155866,0.022514138763277992,0.2361106474897808
A,rbf_markov,all_conditions,84,30,0.2431057551543907,0.02874491486721268,0.6169596571323128,0.14356853093219474,0.03505112006969047,0.3443927027157267
A,rbf_markov,all_conditions,84,50,0.4601309858548112,0.04133771401894286,1.1563931528547553,0.2612304338382126,0.04902056333563208,0.664917541582066
A,rbf_markov,all_conditions,84,60,0.5550547777770692,0.04163469568695014,1.4448976677331453,0.3205767058966252,0.06392608834583718,0.7717267701923533
A,rbf_markov,all_conditions,84,100,0.9599391021207647,0.04221501418336204,2.4007305125224687,0.548437486900487,0.060416976074308654,1.3990905261527429
B,rbf_markov,all_conditions,84,20,0.14125720163393696,0.02545992517881569,0.370096516434655,0.09868728817014591,0.04416620847063353,0.19509967956581936
B,rbf_markov,all_conditions,84,30,0.23400833773161067,0.025043088484035435,0.5524141096934398,0.13914680364510548,0.04726573210488333,0.2893247270904085
B,rbf_markov,all_conditions,84,50,0.4452129784800952,0.015820362699023083,1.0830654361176517,0.2506448317991258,0.05009131810538897,0.5733286652618276
B,rbf_markov,all_conditions,84,60,0.5568399091915335,0.03310842578092894,1.3744542031808586,0.31233774894277766,0.0548664759203284,0.7356232280039967
B,rbf_markov,all_conditions,84,100,0.951303865122365,0.052913539676078876,2.210178163104626,0.5524206927809738,0.07319958220369581,1.3124233788789748
A,rbf_physical_delay,all_conditions,84,20,0.017228752809636767,0.004343808922870297,0.04949659891299523,0.012039779719697082,0.005389711034414879,0.028215671590268644
A,rbf_physical_delay,all_conditions,84,30,0.024189030438073838,0.005382650341890233,0.0739809425372703,0.01554935164828691,0.005837523060738951,0.042828769078547844
A,rbf_physical_delay,all_conditions,84,50,0.04392385327233467,0.006982216205431402,0.1033367453922475,0.02562702290495201,0.006798337705901018,0.06781747645104373
A,rbf_physical_delay,all_conditions,84,60,0.052834327950807905,0.002813244406293554,0.12479235330210289,0.03092207371004872,0.006381209444001565,0.07741758199679824
A,rbf_physical_delay,all_conditions,84,100,0.10760855079847749,0.007637904644251324,0.41210999165281664,0.056869083070352267,0.008851394953990831,0.11760374804654855
B,rbf_physical_delay,all_conditions,84,20,0.01531981240563712,0.007513349113304429,0.03495122791309375,0.012072128429221177,0.007640597164146738,0.019867674915290477
B,rbf_physical_delay,all_conditions,84,30,0.024738809643506738,0.007830642231057436,0.05759323594663875,0.015364658498309506,0.007431286384624184,0.03245421123890781
B,rbf_physical_delay,all_conditions,84,50,0.0448427946997289,0.0033957492331720012,0.09935717371703211,0.025852680711186033,0.00724465363297782,0.0550644850286657
B,rbf_physical_delay,all_conditions,84,60,0.05862939887775563,0.002714733941761356,0.128441854600073,0.03233876281205424,0.00790978627220111,0.06747735508746609
B,rbf_physical_delay,all_conditions,84,100,0.09994222993834559,0.006240284452323778,0.199660878222765,0.057605026730369845,0.00949891906275702,0.10953001431317413
