panel,model,group,conditions,horizon,endpoint_mean,endpoint_min,endpoint_max,cumulative_mean,cumulative_min,cumulative_max
A,mlp_koopman,all_conditions,84,43,0.11539385985202275,0.013961117291180183,0.8370810014691076,0.05512919128547481,0.011418084309563275,0.39175324461848215
A,mlp_koopman,all_conditions,84,44,0.12124563723935446,0.01066889822141702,0.8750423053851184,0.05761260277714757,0.011554969428350432,0.40912698176020207
A,mlp_koopman,all_conditions,84,45,0.1268319335384124,0.010291609746392006,0.9137301588356165,0.060172487453771566,0.011665055995002895,0.4268707282890511
A,mlp_koopman,all_conditions,84,46,0.13289350798801372,0.012501482462259225,0.9514867007030963,0.06281251896479774,0.011778589233336413,0.44490264645313093
A,mlp_koopman,all_conditions,84,47,0.13841226572086177,0.011490348569740105,0.9853387786000213,0.06548691522715756,0.011927392590665206,0.46301641187720066
A,mlp_koopman,all_conditions,84,48,0.14324167746479782,0.01298645048249331,1.0138541098746803,0.06816183488486931,0.012093850189591067,0.4809703180050187
A,mlp_koopman,all_conditions,84,49,0.14879271899330368,0.014709071087737686,1.0404754693332454,0.07087084115727632,0.012172226257995094,0.49870335235330854
A,mlp_koopman,all_conditions,84,50,0.15515434461222477,0.016911990138323077,1.0583366365823883,0.07365485592208756,0.012295537432281593,0.5158802784582001
A,mlp_koopman,all_conditions,84,51,0.16188749556714624,0.019741332420084762,1.0693934905612335,0.07652474901061483,0.012499401789935884,0.5322948011658953
A,mlp_koopman,all_conditions,84,52,0.16892439006636886,0.018041886639409956,1.0867651668172402,0.07948047918565039,0.012758624872688504,0.5482714805249934
A,mlp_koopman,all_conditions,84,53,0.17565734742558364,0.018691435416691268,1.1071847987054508,0.08249763571566847,0.013008433658704029,0.5639674523769996
A,mlp_koopman,all_conditions,84,54,0.18274161862578547,0.019500583040463662,1.130499515208756,0.08558924765719784,0.01325316376485999,0.5795140266563588
A,mlp_koopman,all_conditions,84,55,0.1902122393576697,0.02021939098452162,1.1593508158625323,0.0887612339510655,0.013561525243892413,0.5951205484785923
A,mlp_koopman,all_conditions,84,56,0.1978273191673238,0.020706397884793806,1.1947344051169377,0.09201372137708572,0.013968495586473352,0.6110099367316619
A,mlp_koopman,all_conditions,84,57,0.20533741230935018,0.020888481644914487,1.2361634399029486,0.0953395691524735,0.014415796360032034,0.627369278284443
A,mlp_koopman,all_conditions,84,58,0.21355991216746992,0.02121656970715487,1.2809362924077685,0.09876107864428092,0.014914722756622614,0.6442792528960172
A,mlp_koopman,all_conditions,84,59,0.22141183816528148,0.022630243560375445,1.322352510311103,0.10225807567496444,0.015488225950105542,0.6615873309614957
A,mlp_koopman,all_conditions,84,60,0.22981333316937438,0.01836144967350484,1.3462433542751255,0.10585551431137413,0.01614108704764754,0.6786818248360386
A,mlp_koopman,all_conditions,84,61,0.2378769900462423,0.012755266567232883,1.3517691779044478,0.10953775990988092,0.016471822495710758,0.6949916979348343
A,mlp_koopman,all_conditions,84,62,0.24589627716077395,0.017378855514599948,1.3474045061273228,0.11329063386106444,0.016659229794049057,0.710285267262968
A,mlp_koopman,all_conditions,84,63,0.25409321224415937,0.020524781848191894,1.34627547147821,0.1171071699359193,0.01683094503717353,0.724752586358883
A,mlp_koopman,all_conditions,84,64,0.2630950607092735,0.019465912410901128,1.3556585492105744,0.1210151634743083,0.01701764918901734,0.7387657329371952
A,mlp_koopman,all_conditions,84,65,0.27254313208059255,0.020082374667929788,1.3696202196689164,0.12501768450475886,0.017187407768358483,0.7524876412837288
A,mlp_koopman,all_conditions,84,66,0.2822857293910164,0.020604158311562575,1.3881522466484324,0.12911197944463754,0.01735461600525362,0.7660644597490892
A,mlp_koopman,all_conditions,84,67,0.2915702586115513,0.021237555975835494,1.4138720850721163,0.13327242021236954,0.01754269509787353,0.7796999824973819
A,mlp_koopman,all_conditions,84,68,0.30144239976296955,0.027806804587013068,1.4367957390132846,0.1375099600905083,0.017736722672200042,0.7933161060215448
A,mlp_koopman,all_conditions,84,69,0.3114042689754424,0.028005670265320876,1.4572319909310385,0.14182063717507892,0.017973723033455624,0.8068489008946601
A,mlp_koopman,all_conditions,84,70,0.3213598844542297,0.02761849571356644,1.4833051643826132,0.14620351826569658,0.018147631472230766,0.8204489144282423
A,mlp_koopman,all_conditions,84,71,0.33157770900999667,0.028874806487427372,1.504287037061581,0.15066461398099093,0.01835413016733355,0.8339827148285204
A,mlp_koopman,all_conditions,84,72,0.34193685861364786,0.0226751265312413,1.5166168880471071,0.15521236292427232,0.018585718157244118,0.8472386171658792
A,mlp_koopman,all_conditions,84,73,0.352147545377545,0.02160073287065337,1.5306689150740918,0.15983362909014973,0.018756718659828076,0.8602763420752483
A,mlp_koopman,all_conditions,84,74,0.36293429880927036,0.024927432994573978,1.5411303231513915,0.16453701009162786,0.018958582259213496,0.8730235264975309
A,mlp_koopman,all_conditions,84,75,0.37377641583562327,0.03087052443234367,1.5466297547424206,0.16932065784659303,0.01916616794715832,0.8853823984155117
A,mlp_koopman,all_conditions,84,76,0.3854488257748298,0.01991472451177394,1.5545558977904699,0.17420666362996953,0.01940331883240492,0.89743269353367
A,mlp_koopman,all_conditions,84,77,0.3968178772601505,0.009440214631631465,1.568123043131562,0.17917415223846717,0.019627979535835186,0.9093190207444993
A,mlp_koopman,all_conditions,84,78,0.4089965283408534,0.015018282842968692,1.583777782723213,0.18424360276610566,0.019875546391786514,0.9210964434846343
A,mlp_koopman,all_conditions,84,79,0.4219734068070594,0.02003805314484123,1.602296080308902,0.18943115927022416,0.02016129208174584,0.9328329525288833
A,mlp_koopman,all_conditions,84,80,0.43495396203876213,0.02386648511331753,1.618167826467848,0.19472747681866437,0.020421785341182955,0.9444738957694401
A,mlp_koopman,all_conditions,84,81,0.44739982889912305,0.030552462727398887,1.633079648293936,0.20010878021868136,0.020692339255609177,0.9560039278863474
A,mlp_koopman,all_conditions,84,82,0.4612183086241646,0.03281578507787778,1.6557659769533508,0.20560045793692802,0.020999814015336012,0.9675905786760676
